"id","createdAt","inReplyToScreenName","inReplyToStatusId","inReplyToUserId","retweetCount","source","text"
"804052451095678978","Wed Nov 30 15:00:17 EST 2016",,"-1","-1","22","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","RECALL ALERT: Recall for 2.5 million dehumidifiers has been re-announced due to fire risk. More:… https://t.co/NV3XYQoAFw"
"804029797563322369","Wed Nov 30 13:30:16 EST 2016",,"-1","-1","6","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","The exact cause of ulcerative colitis isn't clear, but researchers suspect the immune system is involved. More:… https://t.co/o55R3SRpig"
"803991987510767616","Wed Nov 30 11:00:01 EST 2016",,"-1","-1","25","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","New study: You're never too old to reap the health benefits of quitting smoking https://t.co/jwVCyLKUAu https://t.co/Hwv5GCEY8f"
"803961891856982016","Wed Nov 30 09:00:26 EST 2016",,"-1","-1","38","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","If you have diabetes, it’s important that you eat regularly to keep your blood sugar levels steady. Learn more:… https://t.co/AU7t5dvsZZ"
"803931677282226176","Wed Nov 30 07:00:22 EST 2016",,"-1","-1","20","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Mold thrives in many places, indoors and out. Here's how you can take steps to limit your exposure:… https://t.co/l9HqyyBZiZ"
"803856117969391616","Wed Nov 30 02:00:08 EST 2016",,"-1","-1","24","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Ringworm isn't actually caused by worms -- it's a fungus. Here's what you can do to prevent it.… https://t.co/lcYj74M582"
"803841041103261697","Wed Nov 30 01:00:13 EST 2016",,"-1","-1","14","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","How often you should have a checkup depends on many factors. Learn more: https://t.co/KYvj9OkwzB https://t.co/k2a9qHhK1b"
"803825652222795777","Tue Nov 29 23:59:04 EST 2016",,"-1","-1","57","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Although the most common sign of a heart attack is chest pain or discomfort, it's not always one of the symptoms.… https://t.co/J4fhaYmadN"
"803803283362086912","Tue Nov 29 22:30:11 EST 2016",,"-1","-1","14","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Whooping cough can lead to complications that can be life-threatening, especially in babies. Know what to look for:… https://t.co/5OXKI12mVf"
"803788217665388545","Tue Nov 29 21:30:19 EST 2016",,"-1","-1","17","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","New study: One glass of wine a day may not keep the doctor away. https://t.co/fZwSVOdt1Z https://t.co/hkvjKZ1PEo"
"803773090895278081","Tue Nov 29 20:30:12 EST 2016",,"-1","-1","31","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Headache? Try deep breathing exercises and mental imagery to reduce stress and ease pain. https://t.co/lQQheYSZzC https://t.co/RV8ArrK1iC"
"803754820834390017","Tue Nov 29 19:17:36 EST 2016",,"-1","-1","20","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Lady Gaga has opened up about dealing with anxiety and depression. Learn more about celebrities with depression:… https://t.co/cT5NI9VG3p"
"803735334177619968","Tue Nov 29 18:00:11 EST 2016",,"-1","-1","39","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Anything that damages the inner lining of a vein may cause DVT -- surgery, an injury, or your immune system. More:… https://t.co/kSrWB7gz23"
"803705941187170304","Tue Nov 29 16:03:23 EST 2016",,"-1","-1","14","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Is chicken soup really the cold remedy your grandma said it was? https://t.co/dce3ZbSgtD https://t.co/9k46oaKy7K"
"803693394765737988","Tue Nov 29 15:13:31 EST 2016",,"-1","-1","43","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","RECALL ISSUED on child teething and ear pain relief products, including some CVS-branded products. Learn more:… https://t.co/BqTuE6AKa4"
"803667408497950722","Tue Nov 29 13:30:16 EST 2016",,"-1","-1","9","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Has seeing a calorie count ever changed your fast food order? https://t.co/RkNigpjdD4 https://t.co/dOTgM5uCTk"
"803644176562814976","Tue Nov 29 11:57:57 EST 2016",,"-1","-1","9","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Tom Price has been named head of the US Dept of Health & Human Services. What do you think this means for Obamacare… https://t.co/S8vHIQCcMa"
